,volume,year,month,rounded_hour,minute,hour_y,pressure,sea_pressure,count,direction,tollgate_id,window_time,window_time_formatted,is_festival,is_working_day,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,day_18,day_19,day_20,day_21,day_22,day_23,day_24,hour_8,hour_9,hour_17,hour_18,rounded_min_0,rounded_min_20,rounded_min_40,wind_direction_-0.0,wind_direction_30.0,wind_direction_60.0,wind_direction_75.0,wind_direction_90.0,wind_direction_105.0,wind_direction_120.0,wind_direction_165.0,wind_direction_195.0,wind_direction_210.0,wind_direction_225.0,wind_direction_315.0,wind_direction_330.0,wind_direction_345.0,wind_speed_0.0,wind_speed_1.0,wind_speed_2.0,wind_speed_3.0,wind_speed_4.0,wind_speed_6.0,temperature_18.0,temperature_20.0,temperature_22.0,temperature_24.0,rel_humidity_60.0,rel_humidity_70.0,rel_humidity_80.0,rel_humidity_90.0,precipitation_0.0,precipitation_1.0,precipitation_3.0,day,hour,vehicle_id,travel_time,count_traj
0,50.61,2016,10,15,0,15,1013.7,1018.7,1,0,1,2016-10-18-17-0,2016-10-18 17:00:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18,17,1041223.0,155.333333333,6.0
1,27.34,2016,10,15,0,15,1013.7,1018.7,1,0,2,2016-10-18-17-0,2016-10-18 17:00:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18,17,1024795.0,102.642857143,14.0
2,166.39,2016,10,15,0,15,1013.7,1018.7,1,0,3,2016-10-18-17-0,2016-10-18 17:00:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18,17,1021601.0,136.0,15.0
3,34.43,2016,10,15,20,15,1013.7,1018.7,1,0,1,2016-10-18-17-20,2016-10-18 17:20:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18,17,1021790.0,165.25,4.0
4,40.79,2016,10,15,20,15,1013.7,1018.7,1,0,2,2016-10-18-17-20,2016-10-18 17:20:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18,17,1024374.0,86.1578947368,19.0
5,265.94,2016,10,15,20,15,1013.7,1018.7,1,0,3,2016-10-18-17-20,2016-10-18 17:20:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18,17,1025488.0,115.625,16.0
6,209.33,2016,10,15,40,15,1013.7,1018.7,1,0,1,2016-10-18-17-40,2016-10-18 17:40:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18,17,1023561.0,148.8,5.0
7,281.57,2016,10,15,40,15,1013.7,1018.7,1,0,2,2016-10-18-17-40,2016-10-18 17:40:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18,17,1037069.0,74.5,8.0
8,299.93,2016,10,15,40,15,1013.7,1018.7,1,0,3,2016-10-18-17-40,2016-10-18 17:40:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18,17,1028728.0,146.583333333,12.0
9,92.99,2016,10,18,0,18,1012.1,1017.1,1,0,1,2016-10-18-18-0,2016-10-18 18:00:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,18,18,1035598.0,129.666666667,6.0
