window_time,tollgate_id,direction,volume,year,month,rounded_hour,minute,hour_y,pressure,sea_pressure,count,direction,tollgate_id,window_time,window_time_formatted,is_festival,is_working_day,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,day_18,day_19,day_20,day_21,day_22,day_23,day_24,hour_8,hour_9,hour_17,hour_18,rounded_min_0,rounded_min_20,rounded_min_40,wind_direction_-0.0,wind_direction_30.0,wind_direction_60.0,wind_direction_75.0,wind_direction_90.0,wind_direction_105.0,wind_direction_120.0,wind_direction_165.0,wind_direction_195.0,wind_direction_210.0,wind_direction_225.0,wind_direction_315.0,wind_direction_330.0,wind_direction_345.0,wind_speed_0.0,wind_speed_1.0,wind_speed_2.0,wind_speed_3.0,wind_speed_4.0,wind_speed_6.0,temperature_18.0,temperature_20.0,temperature_22.0,temperature_24.0,rel_humidity_60.0,rel_humidity_70.0,rel_humidity_80.0,rel_humidity_90.0,precipitation_0.0,precipitation_1.0,precipitation_3.0,day,hour
2016-10-18-17-0,1,1,132.69,2016,10,15,0,15,1013.7,1018.7,1,1,1,2016-10-18-17-0,2016-10-18 17:00:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18,17
2016-10-18-17-0,3,1,100.12,2016,10,15,0,15,1013.7,1018.7,1,1,3,2016-10-18-17-0,2016-10-18 17:00:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18,17
2016-10-18-17-20,1,1,251.97,2016,10,15,20,15,1013.7,1018.7,1,1,1,2016-10-18-17-20,2016-10-18 17:20:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18,17
2016-10-18-17-20,3,1,220.96,2016,10,15,20,15,1013.7,1018.7,1,1,3,2016-10-18-17-20,2016-10-18 17:20:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18,17
2016-10-18-17-40,1,1,97.79,2016,10,15,40,15,1013.7,1018.7,1,1,1,2016-10-18-17-40,2016-10-18 17:40:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18,17
2016-10-18-17-40,3,1,50.73,2016,10,15,40,15,1013.7,1018.7,1,1,3,2016-10-18-17-40,2016-10-18 17:40:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18,17
2016-10-18-18-0,1,1,58.89,2016,10,18,0,18,1012.1,1017.1,1,1,1,2016-10-18-18-0,2016-10-18 18:00:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,18,18
2016-10-18-18-0,3,1,36.82,2016,10,18,0,18,1012.1,1017.1,1,1,3,2016-10-18-18-0,2016-10-18 18:00:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,18,18
2016-10-18-18-20,1,1,219.58,2016,10,18,20,18,1012.1,1017.1,1,1,1,2016-10-18-18-20,2016-10-18 18:20:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,18,18
2016-10-18-18-20,3,1,127.38,2016,10,18,20,18,1012.1,1017.1,1,1,3,2016-10-18-18-20,2016-10-18 18:20:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,18,18
