window_time_formatted,tollgate_id,direction,vehicle_id,travel_time,count_traj,window_time_formatted,direction,tollgate_id
2016-10-18 08:00:00,1,0,1027247,115.666666667,3,2016-10-18 08:00:00,0,1
2016-10-18 08:00:00,2,0,1019095,41.0,6,2016-10-18 08:00:00,0,2
2016-10-18 08:00:00,3,0,1026275,80.0,5,2016-10-18 08:00:00,0,3
2016-10-18 08:20:00,1,0,1015185,106.666666667,3,2016-10-18 08:20:00,0,1
2016-10-18 08:20:00,2,0,1011533,39.0,6,2016-10-18 08:20:00,0,2
2016-10-18 08:20:00,3,0,1012645,138.5,4,2016-10-18 08:20:00,0,3
2016-10-18 08:40:00,1,0,1019365,118.833333333,6,2016-10-18 08:40:00,0,1
2016-10-18 08:40:00,2,0,1017805,67.125,8,2016-10-18 08:40:00,0,2
2016-10-18 08:40:00,3,0,1029576,188.875,8,2016-10-18 08:40:00,0,3
2016-10-18 09:00:00,1,0,1017807,132.166666667,6,2016-10-18 09:00:00,0,1
2016-10-18 09:00:00,2,0,1014194,48.6,5,2016-10-18 09:00:00,0,2
2016-10-18 09:00:00,3,0,1019873,159.333333333,9,2016-10-18 09:00:00,0,3
2016-10-18 09:20:00,1,0,1019090,136.0,1,2016-10-18 09:20:00,0,1
2016-10-18 09:20:00,2,0,1017258,59.1111111111,9,2016-10-18 09:20:00,0,2
2016-10-18 09:20:00,3,0,1016814,101.214285714,14,2016-10-18 09:20:00,0,3
2016-10-18 09:40:00,1,0,1017991,189.666666667,6,2016-10-18 09:40:00,0,1
2016-10-18 09:40:00,2,0,1013157,60.375,8,2016-10-18 09:40:00,0,2
2016-10-18 09:40:00,3,0,1020314,165.5,16,2016-10-18 09:40:00,0,3
2016-10-18 10:00:00,3,0,1007333,92.5,2,2016-10-18 10:00:00,0,3
2016-10-18 17:00:00,1,0,1041223,155.333333333,6,2016-10-18 17:00:00,0,1
2016-10-18 17:00:00,2,0,1024795,102.642857143,14,2016-10-18 17:00:00,0,2
2016-10-18 17:00:00,3,0,1021601,136.0,15,2016-10-18 17:00:00,0,3
2016-10-18 17:20:00,1,0,1021790,165.25,4,2016-10-18 17:20:00,0,1
2016-10-18 17:20:00,2,0,1024374,86.1578947368,19,2016-10-18 17:20:00,0,2
2016-10-18 17:20:00,3,0,1025488,115.625,16,2016-10-18 17:20:00,0,3
2016-10-18 17:40:00,1,0,1023561,148.8,5,2016-10-18 17:40:00,0,1
2016-10-18 17:40:00,2,0,1037069,74.5,8,2016-10-18 17:40:00,0,2
