window_time,tollgate_id,direction,vehicle_model,has_etc,vehicle_type,month,day,hour,minute,hour_y,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,count,direction,tollgate_id,window_time,window_time_formatted,weekday,rounded_min,is_festival,is_working_day
2016-09-19-0-0,1,0,1.69230769231,0.307692307692,,9.0,19.0,0.0,11.9230769231,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,13,0,1,2016-09-19-0-0,2016-09-19 00:00:00,1.0,0.0,0,1
2016-09-19-0-0,1,1,1.29285714286,0.235714285714,0.221428571429,9.0,19.0,0.0,9.28571428571,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,140,1,1,2016-09-19-0-0,2016-09-19 00:00:00,1.0,0.0,0,1
2016-09-19-0-0,2,0,1.5,0.0,,9.0,19.0,0.0,3.5,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,2,0,2,2016-09-19-0-0,2016-09-19 00:00:00,1.0,0.0,0,1
2016-09-19-0-0,3,0,2.29411764706,0.0,,9.0,19.0,0.0,11.8235294118,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,17,0,3,2016-09-19-0-0,2016-09-19 00:00:00,1.0,0.0,0,1
2016-09-19-0-0,3,1,1.27071823204,0.254143646409,0.116022099448,9.0,19.0,0.0,9.01104972376,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,181,1,3,2016-09-19-0-0,2016-09-19 00:00:00,1.0,0.0,0,1
2016-09-19-0-20,1,0,1.0,0.166666666667,,9.0,19.0,0.0,29.8333333333,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,6,0,1,2016-09-19-0-20,2016-09-19 00:20:00,1.0,20.0,0,1
2016-09-19-0-20,1,1,1.73214285714,0.178571428571,0.285714285714,9.0,19.0,0.0,28.25,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,56,1,1,2016-09-19-0-20,2016-09-19 00:20:00,1.0,20.0,0,1
2016-09-19-0-20,3,0,1.1875,0.0625,,9.0,19.0,0.0,31.9375,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,16,0,3,2016-09-19-0-20,2016-09-19 00:20:00,1.0,20.0,0,1
2016-09-19-0-20,3,1,1.32142857143,0.3125,0.142857142857,9.0,19.0,0.0,29.2767857143,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,112,1,3,2016-09-19-0-20,2016-09-19 00:20:00,1.0,20.0,0,1
2016-09-19-0-40,1,0,1.88888888889,0.111111111111,,9.0,19.0,0.0,49.0,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,9,0,1,2016-09-19-0-40,2016-09-19 00:40:00,1.0,40.0,0,1
2016-09-19-0-40,1,1,1.48387096774,0.161290322581,0.354838709677,9.0,19.0,0.0,50.0967741935,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,31,1,1,2016-09-19-0-40,2016-09-19 00:40:00,1.0,40.0,0,1
2016-09-19-0-40,3,0,1.25,0.0625,,9.0,19.0,0.0,48.4375,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,16,0,3,2016-09-19-0-40,2016-09-19 00:40:00,1.0,40.0,0,1
2016-09-19-0-40,3,1,1.44086021505,0.268817204301,0.172043010753,9.0,19.0,0.0,47.8064516129,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,93,1,3,2016-09-19-0-40,2016-09-19 00:40:00,1.0,40.0,0,1
2016-09-19-1-0,1,0,2.2,0.1,,9.0,19.0,1.0,13.2,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,10,0,1,2016-09-19-1-0,2016-09-19 01:00:00,1.0,0.0,0,1
2016-09-19-1-0,1,1,1.25,0.25,0.5,9.0,19.0,1.0,10.5,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,4,1,1,2016-09-19-1-0,2016-09-19 01:00:00,1.0,0.0,0,1
2016-09-19-1-0,2,0,1.0,1.0,,9.0,19.0,1.0,5.0,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,1,0,2,2016-09-19-1-0,2016-09-19 01:00:00,1.0,0.0,0,1
2016-09-19-1-0,3,0,1.23529411765,0.0588235294118,,9.0,19.0,1.0,10.7058823529,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,17,0,3,2016-09-19-1-0,2016-09-19 01:00:00,1.0,0.0,0,1
2016-09-19-1-0,3,1,1.0,0.25,0.0,9.0,19.0,1.0,10.0,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,4,1,3,2016-09-19-1-0,2016-09-19 01:00:00,1.0,0.0,0,1
2016-09-19-1-20,1,0,1.42857142857,0.214285714286,,9.0,19.0,1.0,27.0,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,14,0,1,2016-09-19-1-20,2016-09-19 01:20:00,1.0,20.0,0,1
2016-09-19-1-20,1,1,1.78571428571,0.142857142857,0.428571428571,9.0,19.0,1.0,27.4285714286,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,14,1,1,2016-09-19-1-20,2016-09-19 01:20:00,1.0,20.0,0,1
2016-09-19-1-20,3,0,1.58823529412,0.117647058824,,9.0,19.0,1.0,31.0,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,17,0,3,2016-09-19-1-20,2016-09-19 01:20:00,1.0,20.0,0,1
2016-09-19-1-20,3,1,1.8,0.2,0.6,9.0,19.0,1.0,24.0,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,5,1,3,2016-09-19-1-20,2016-09-19 01:20:00,1.0,20.0,0,1
2016-09-19-1-40,1,0,1.4,0.0,,9.0,19.0,1.0,51.4,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,10,0,1,2016-09-19-1-40,2016-09-19 01:40:00,1.0,40.0,0,1
2016-09-19-1-40,1,1,1.42857142857,0.142857142857,0.428571428571,9.0,19.0,1.0,48.4285714286,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,7,1,1,2016-09-19-1-40,2016-09-19 01:40:00,1.0,40.0,0,1
